feature,coef,abs_coef
genre_iranian,-3.1576571701036937,3.1576571701036937
genre_romance,-2.897011965705716,2.897011965705716
genre_k-pop,2.5312064114020467,2.5312064114020467
genre_pop-film,2.4575775565197415,2.4575775565197415
genre_detroit-techno,-2.313990771569534,2.313990771569534
genre_chicago-house,-2.2309618981861448,2.2309618981861448
genre_latin,-2.2243306403305247,2.2243306403305247
genre_chill,2.028384231984465,2.028384231984465
genre_kids,-1.953683710206278,1.953683710206278
genre_grindcore,-1.8757797293921767,1.8757797293921767
genre_idm,-1.7991638333615594,1.7991638333615594
genre_classical,-1.7627659726665013,1.7627659726665013
genre_jazz,-1.6896452444869474,1.6896452444869474
genre_country,-1.6302433384139496,1.6302433384139496
genre_anime,1.6252726243304807,1.6252726243304807
genre_honky-tonk,-1.6170017415508553,1.6170017415508553
genre_grunge,1.5913283971837493,1.5913283971837493
genre_emo,1.536006978144449,1.536006978144449
genre_indian,1.4937004108320158,1.4937004108320158
genre_sertanejo,1.4827647483897148,1.4827647483897148
genre_breakbeat,-1.4186657684087896,1.4186657684087896
genre_sad,1.3553747456234861,1.3553747456234861
genre_pagode,1.3464770304291283,1.3464770304291283
genre_piano,1.319852237901947,1.319852237901947
genre_tango,-1.286024292477613,1.286024292477613
genre_ambient,1.245198727863871,1.245198727863871
genre_happy,-1.223889938897217,1.223889938897217
genre_dance,-1.1816529098085367,1.1816529098085367
genre_british,1.1802338213117407,1.1802338213117407
genre_deep-house,1.1693354714875273,1.1693354714875273
genre_brazil,1.165675016757664,1.165675016757664
genre_latino,1.1199233875457404,1.1199233875457404
genre_black-metal,-1.1155419584069286,1.1155419584069286
genre_hard-rock,1.080512309113092,1.080512309113092
valence,-1.0711116521127895,1.0711116521127895
genre_mandopop,1.0707785802354084,1.0707785802354084
genre_progressive-house,1.0598490274552974,1.0598490274552974
genre_party,-1.0280903432157735,1.0280903432157735
genre_rock,-1.0157800256758158,1.0157800256758158
genre_forro,0.978782589527184,0.978782589527184
genre_metalcore,0.9668867428535055,0.9668867428535055
genre_electronic,0.9518248649524571,0.9518248649524571
genre_acoustic,0.9430784498550506,0.9430784498550506
genre_afrobeat,-0.9020679204177877,0.9020679204177877
genre_hip-hop,0.8618097713050084,0.8618097713050084
genre_j-idol,-0.8571651094556181,0.8571651094556181
genre_world-music,0.8275378162909767,0.8275378162909767
genre_singer-songwriter,0.8166324042843643,0.8166324042843643
genre_alternative,-0.7985280389954627,0.7985280389954627
genre_opera,-0.7887509758776149,0.7887509758776149
danceability,0.762643889164719,0.762643889164719
genre_heavy-metal,-0.7544044576918543,0.7544044576918543
genre_mpb,0.7490921904268809,0.7490921904268809
genre_j-dance,-0.7447810855522704,0.7447810855522704
genre_study,-0.7312958747134399,0.7312958747134399
genre_drum-and-bass,-0.7093814329943103,0.7093814329943103
genre_garage,0.7088241841739417,0.7088241841739417
genre_dub,0.6719536167160097,0.6719536167160097
genre_french,0.6692856730361403,0.6692856730361403
genre_turkish,0.660540757246666,0.660540757246666
genre_bluegrass,-0.6495336470416881,0.6495336470416881
genre_spanish,0.6488328626032954,0.6488328626032954
genre_hardstyle,-0.6354508062034568,0.6354508062034568
genre_Other,0.6220892194674624,0.6220892194674624
genre_folk,0.6006384493398282,0.6006384493398282
acousticness,-0.5994414193311781,0.5994414193311781
genre_pop,0.5756560262368112,0.5756560262368112
genre_punk-rock,0.5736492126391558,0.5736492126391558
genre_power-pop,-0.5518133441387474,0.5518133441387474
genre_psych-rock,0.5412911842154275,0.5412911842154275
genre_edm,0.527951836059386,0.527951836059386
genre_disney,-0.5268967205984606,0.5268967205984606
genre_gospel,0.518289419199299,0.518289419199299
genre_samba,0.5075147012416931,0.5075147012416931
genre_soul,-0.5054266929664439,0.5054266929664439
genre_comedy,-0.481773224525994,0.481773224525994
genre_indie-pop,0.47221023195424044,0.47221023195424044
genre_r-n-b,0.46596835494603867,0.46596835494603867
energy,-0.436865154333189,0.436865154333189
genre_goth,-0.42809266612827657,0.42809266612827657
instrumentalness,-0.41342864762491816,0.41342864762491816
genre_rock-n-roll,0.4112163884781192,0.4112163884781192
genre_salsa,-0.40850370078817055,0.40850370078817055
liveness,-0.40379395519418243,0.40379395519418243
mode,-0.3921600561540769,0.3921600561540769
genre_techno,0.3859257869561582,0.3859257869561582
genre_trance,0.3759296437049234,0.3759296437049234
speechiness,-0.37094742151990107,0.37094742151990107
genre_j-pop,0.36346560442406634,0.36346560442406634
genre_malay,-0.34919650684061937,0.34919650684061937
genre_rockabilly,-0.3472778671062446,0.3472778671062446
genre_hardcore,0.3344076234357088,0.3344076234357088
genre_sleep,0.3278042291734518,0.3278042291734518
genre_new-age,-0.30760265431838407,0.30760265431838407
genre_guitar,-0.30709138888080534,0.30709138888080534
genre_j-rock,0.2905609948851807,0.2905609948851807
genre_swedish,0.2860482078743759,0.2860482078743759
time_signature,0.2773415168212368,0.2773415168212368
genre_ska,0.27554357782868544,0.27554357782868544
loudness,0.266721582941016,0.266721582941016
genre_synth-pop,0.2051261065483959,0.2051261065483959
genre_show-tunes,-0.20237582423165332,0.20237582423165332
genre_children,0.19990731644032433,0.19990731644032433
energy_missing,0.16075664010607263,0.16075664010607263
loudness_missing,0.1493954256500736,0.1493954256500736
tempo,0.1411549046618386,0.1411549046618386
genre_funk,0.13358409353703637,0.13358409353703637
genre_groove,0.12918001950499963,0.12918001950499963
genre_cantopop,0.11898428009391653,0.11898428009391653
genre_german,-0.1129923698929205,0.1129923698929205
genre_blues,-0.11018724944993914,0.11018724944993914
genre_industrial,-0.10851319931153532,0.10851319931153532
genre_minimal-techno,-0.10710154973316932,0.10710154973316932
tempo_missing,0.10031882967246887,0.10031882967246887
instrumentalness_missing,0.09729244446719698,0.09729244446719698
danceability_missing,-0.09392926961270857,0.09392926961270857
genre_trip-hop,0.09176385200475505,0.09176385200475505
liveness_missing,0.07649060205995702,0.07649060205995702
duration_ms,-0.06855603589540644,0.06855603589540644
genre_dancehall,0.058640964331647304,0.058640964331647304
valence_missing,-0.04448925436047349,0.04448925436047349
key_missing,-0.04196491806772904,0.04196491806772904
key,-0.03875002571489848,0.03875002571489848
genre_club,-0.032645320449141875,0.032645320449141875
duration_ms_missing,0.0315461382433105,0.0315461382433105
genre_disco,0.02889088445274553,0.02889088445274553
genre_death-metal,-0.027985037416589132,0.027985037416589132
time_signature_missing,-0.02582515955763416,0.02582515955763416
mode_missing,0.023076568305060295,0.023076568305060295
genre_alt-rock,0.0227625177775075,0.0227625177775075
speechiness_missing,0.013031525409371018,0.013031525409371018
acousticness_missing,0.008994559684533183,0.008994559684533183
genre_electro,-0.0038553067240065164,0.0038553067240065164
