component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.031283192403654986,0.031283192403654986
2,0.019082536429086132,0.05036572883274112
3,0.014011283284986843,0.06437701211772796
4,0.012958054209812954,0.07733506632754092
5,0.01167644980629099,0.0890115161338319
6,0.010175527766837977,0.09918704390066987
7,0.00921121794032535,0.10839826184099523
8,0.008767793086425476,0.1171660549274207
9,0.008597785511026957,0.12576384043844765
10,0.008255855765848913,0.13401969620429657
11,0.008034752213299308,0.14205444841759587
12,0.00788531694078223,0.1499397653583781
13,0.007827931364567994,0.1577676967229461
14,0.0077743384295567005,0.1655420351525028
15,0.00767297551990735,0.17321501067241013
16,0.007650559064996596,0.18086556973740672
17,0.007646283717035579,0.1885118534544423
18,0.007640478674331718,0.196152332128774
19,0.007615137996042241,0.20376747012481625
20,0.007608234344864939,0.21137570446968118
21,0.0075885035140694545,0.21896420798375063
22,0.0075816312587597,0.22654583924251034
23,0.007550366043348382,0.23409620528585873
24,0.007541967270184709,0.24163817255604345
25,0.0075321590467946195,0.24917033160283805
26,0.007502341508923837,0.2566726731117619
27,0.007477724964886125,0.26415039807664803
28,0.007460193562176013,0.27161059163882406
29,0.007410445067096587,0.27902103670592066
30,0.007402188891301564,0.2864232255972222
31,0.007382032625770799,0.293805258222993
32,0.007381464331718902,0.3011867225547119
33,0.007381280727137412,0.3085680032818493
34,0.007381190025731688,0.315949193307581
35,0.007380867506184994,0.323330060813766
36,0.007380367392857324,0.3307104282066233
37,0.007379849028683677,0.33809027723530694
38,0.007379755661739266,0.3454700328970462
39,0.0073796161154589725,0.35284964901250515
40,0.00737936522107317,0.36022901423357834
41,0.007379228315699292,0.36760824254927765
42,0.007379048263229608,0.37498729081250726
43,0.00737865368747651,0.3823659444999838
44,0.007378314171942554,0.38974425867192636
45,0.007377978103965206,0.3971222367758916
46,0.007377891990790664,0.40450012876668223
47,0.007377670833759671,0.4118777996004419
48,0.0073772158272015,0.41925501542764343
49,0.007376948161587786,0.4266319635892312
50,0.007376535347392992,0.4340084989366242
51,0.007376313420851145,0.44138481235747534
52,0.007376105339325792,0.44876091769680115
53,0.00737586131702872,0.4561367790138299
54,0.007375386461892255,0.4635121654757221
55,0.007375154428619859,0.47088731990434196
56,0.007374948955662834,0.4782622688600048
57,0.007374198109477345,0.48563646696948215
58,0.0073741077048144,0.49301057467429654
59,0.007373963675686184,0.5003845383499828
60,0.007373702667082768,0.5077582410170656
61,0.007373109737503833,0.5151313507545694
62,0.007372905278527076,0.5225042560330965
63,0.007372715878376675,0.5298769719114731
64,0.007372295152205886,0.5372492670636789
65,0.007371998803251348,0.5446212658669303
66,0.007371869542084474,0.5519931354090147
67,0.007371273157470324,0.5593644085664851
68,0.007371103142331942,0.566735511708817
69,0.00737071137963062,0.5741062230884476
70,0.007370280183591025,0.5814765032720386
71,0.007369741335349417,0.588846244607388
72,0.007368920231218309,0.5962151648386063
73,0.00736853315797011,0.6035836979965764
74,0.007368120062216546,0.610951818058793
75,0.007367143709133001,0.618318961767926
76,0.007366858899160166,0.6256858206670861
77,0.0073664657112291745,0.6330522863783152
78,0.007364977173525276,0.6404172635518405
79,0.0073640909665533116,0.6477813545183938
80,0.007363180564470588,0.6551445350828644
81,0.007362834032459317,0.6625073691153237
82,0.007362463325106394,0.6698698324404301
83,0.00736204050799901,0.6772318729484291
84,0.007361359382531342,0.6845932323309605
85,0.007360349579738736,0.6919535819106992
86,0.00735970742779472,0.6993132893384939
87,0.007359546693798698,0.7066728360322926
88,0.007358837414603847,0.7140316734468964
89,0.007358128225479668,0.7213898016723761
90,0.007357290137613774,0.7287470918099899
91,0.007356942838846382,0.7361040346488362
92,0.007355854006766506,0.7434598886556028
93,0.007354391068126967,0.7508142797237297
94,0.007353844284876637,0.7581681240086063
95,0.007352438683140319,0.7655205626917466
96,0.007349142405162725,0.7728697050969093
97,0.007348663216400462,0.7802183683133098
98,0.007348135714809945,0.7875665040281198
99,0.007345356869622405,0.7949118608977422
100,0.007343895012283753,0.802255755910026
101,0.007342122986660542,0.8095978788966866
102,0.007339503360387415,0.816937382257074
103,0.007337767817931449,0.8242751500750055
104,0.007336311754739739,0.8316114618297452
105,0.007333372717117477,0.8389448345468626
106,0.007331586061273399,0.846276420608136
107,0.007197871998230813,0.8534742926063669
108,0.007153632453571993,0.8606279250599389
109,0.007135770082973299,0.8677636951429122
110,0.007113278410976182,0.8748769735538884
111,0.0071043706027799965,0.8819813441566684
112,0.007095513385150856,0.8890768575418193
113,0.007059957842925651,0.896136815384745
114,0.007041254365651106,0.903178069750396
115,0.007014991875686346,0.9101930616260824
116,0.006982097570242318,0.9171751591963246
117,0.006963147611421992,0.9241383068077467
118,0.006936938664876307,0.931075245472623
119,0.006894798830903632,0.9379700443035266
120,0.006827246207679352,0.944797290511206
121,0.006451681618273823,0.9512489721294798
